mnemonico,imm,dir,indx,indy,ext,inh,rel
stx,0,DF,EF,CDEF,FF,0,0
sty,0,18DF,1AEF,18EF,FF,0,0
suba,80,90,A0,18A0,B0,0,0
subb,C0,D0,E0,18E0,F0,0,0
subd,83,93,A3,18A3,B3,0,0
swi,0,0,0,0,0,3F,0
tab,0,0,0,0,0,16,0
tap,0,0,0,0,0,06,0
tba,0,0,0,0,0,17,0
tets,0,0,0,0,0,00,0
tpa,0,0,0,0,0,07,0
tst,0,0,6D,186D,7D,0,0
tsta,0,0,0,0,0,4D,0
tstb,0,0,0,0,0,5D,0
tsx,0,0,0,0,0,30,0
tsy,0,0,0,0,0,1830,0
txs,0,0,0,0,0,35,0
tys,0,0,0,0,0,1835,0
wai,0,0,0,0,0,3E,0
xgdx,0,0,0,0,0,8F,0
xgdy,0,0,0,0,0,188F,0
